show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,text_features
s12,TV Show,1983,Unknown,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States","November 30, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",unknown robert więckiewicz maciej musiał michalina olszańska andrzej chyra clive russell zofia wichłacz edyta olszówka mateusz kościukiewicz ewa błaszczyk vu le hong tomasz włosok krzysztof wach crime tv shows international tv shows tv dramas in this dark althistory thriller a naïve law student and a worldweary detective uncover a conspiracy that has tyrannized poland for decades
s13,TV Show,1994,Diego Enrique Osorno,Unknown,Mexico,"May 17, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",diego enrique osorno unknown crime tv shows docuseries international tv shows archival video and new interviews examine mexican politics in 1994 a year marked by the rise of the ezln and the assassination of luis donaldo colosio
s14,Movie,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,Thailand,"March 1, 2019",2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",nottapon boonprakob artiwara kongmalai documentaries international movies sports movies this intimate documentary follows rock star artiwara kongmalai on his historic 2215kilometer charity run across thailand in 2017
s15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,"March 19, 2020",2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",john suits omar epps kate walsh miranda cosgrove angus macfadyen jorja fox enver gjokaj haaz sleiman independent movies scifi  fantasy thrillers stranded when the earth is suddenly destroyed in a mysterious cataclysm the astronauts aboard a marooned space station slowly lose their minds
s16,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,"September 1, 2019",2014,TV-14,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",kunle afolayan sadiq daba david bailie kayode olaiya kehinde bankole fabian adeoye lojede nick rhys kunle afolayan colin david reese ibrahim shatta femi adebayo kanayo o kanayo lawrence stubbings ademola adedoyin dramas international movies thrillers against the backdrop of nigerias looming independence from britain detective danladi waziri races to capture a killer terrorizing local women
s17,TV Show,Feb-09,Unknown,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",Unknown,"March 20, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",unknown shahd el yaseen shaila sabt hala hanadi alkandari salma salem ibrahim alharbi mahmoud boushahri yousef al balushi ghorour abdullah albloshi international tv shows tv dramas as a psychology professor faces alzheimers his daughter and her three close female friends experience romance marriage heartbreak and tragedy
s18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States","October 10, 2018",2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",paul greengrass anders danielsen lie jon øigarden jonas strand gravli ola g furuseth maria bock thorbjørn harr jaden smith dramas thrillers after devastating terror attacks in norway a young survivor grieving families and the country rally for justice and healing based on a true story
s19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,"March 29, 2019",2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",swapnaneel jayakar rahul pethe mrunmayee deshpande adinath kothare vaibhav mangale jaywant wadkar satish pulekar naina apte uday tikekar comedies dramas independent movies on indias independence day a zany mishap in a mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy
s20,Movie,'89,Unknown,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,"May 16, 2018",2017,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",unknown lee dixon ian wright paul merson sports movies mixing old footage with interviews this is the story of arsenals improbable win versus liverpool in the final moments of the 1989 championship game
s21,Movie,​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,"September 1, 2018",2018,TV-14,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",onir geetanjali thapa zain khan durrani shray rai tiwari mona ambegaonkar chandreyee ghosh barun chanda saheb bhattacharjee shefali chauhan dramas independent movies international movies after accidentally connecting over the internet two strangers form a tight friendship – not knowing they already share a bond
s22,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,"September 15, 2018",2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",vijay milton samuthirakani bharath seeni vinoth esakki barath chemban vinod jose gautham menon krisha kurup subiksha action  adventure dramas international movies a taxi driver a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians evil dons and caste barriers
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,"September 15, 2018",2017,TV-14,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",santwana bardoloi adil hussain shakil imtiaz mahendra rabha sulakshana baruah rahul gautam sarma kulada bhattacharjya indu mohan das moumita talukdar dramas international movies a successful writer returns to the town that launched his career encountering people who spark nostalgic often painfully illuminating flashbacks
s24,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,"September 15, 2018",2017,TV-14,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",atanu ghosh soumitra chatterjee prasenjit chatterjee indrani haldar sudipta chakraborty suman banerjee gargi roychowdhury dramas international movies when a middleaged divorcee returns to kolkata to visit his ailing father longburied memories resurface bringing new discoveries with them
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,Unknown,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,"January 23, 2020",2020,TV-14,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",unknown bryson baugus emily neves blake shepard patrick poole luci christian adam gibbs masakazu morita fumiko orikasa takahiro sakurai hiroaki miura satomi sato katsuyuki konishi anime series international tv shows seiya and the knights of the zodiac rise again to protect the reincarnation of the goddess athena but a dark prophecy hangs over them all
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",Unknown,United States,"June 30, 2016",2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,lyric r cabral david felix sutcliffe unknown documentaries this reallife look at fbi counterterrorism operations features access to both sides of a sting the government informant and the radicalized target
s27,TV Show,(Un)Well,Unknown,Unknown,United States,"August 12, 2020",2020,TV-MA,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",unknown unknown reality tv this docuseries takes a deep dive into the lucrative wellness industry which touts health and healing but do the products live up to the promises
s28,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",South Korea,"September 8, 2020",2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",cho il yoo ahin park shinhye horror movies international movies thrillers as a grisly virus rampages a city a lone man stays locked inside his apartment digitally cut off from seeking help and desperate to find a way out
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,"July 1, 2020",2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",sabina fedeli anna migotto helen mirren gengher gatti documentaries international movies through her diary anne franks story is retold alongside those of five holocaust survivors in this poignant documentary from oscar winner helen mirren
s30,TV Show,#blackAF,Unknown,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,"April 17, 2020",2020,TV-MA,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",unknown kenya barris rashida jones iman benson genneya walton scarlet spencer justin claiborne ravi cabotconyers tv comedies kenya barris and his family navigate relationships race and culture while grappling with their newfound success in this comedy series
s31,Movie,#cats_the_mewvie,Michael Margolis,Unknown,Canada,"February 5, 2020",2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",michael margolis unknown documentaries international movies this pawesome documentary explores how our feline friends became online icons from the earliest text memes to the rise of celebrity cat influencers
s32,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,"May 21, 2020",2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",rako prijanto adipati dolken vanesha prescilla rendi jhon beby tsabina denira wiraguna refal hady diandra agatha sari nila dramas international movies romantic movies pining for his high school crush for years a young man puts up his best efforts to move out of the friend zone until she reveals shes getting married
s33,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,"June 28, 2020",2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",rako prijanto adipati dolken mawar de jongh sari nila vonny cornellya clay gribble ivan leonardy sarah sechan jourdy pranata dramas international movies romantic movies as ayu and ditto finally transition from best friends to newlyweds a quick pregnancy creates uncertainty for the future of their young marriage
s34,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,"September 8, 2017",2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",fernando lebrija nesta cooper kate walsh john michael higgins keith powers alicia sanz jake borelli kid ink yousef erakat rebekah graf anne winters peter gilroy patrick davis comedies when nerdy high schooler dani finally attracts the interest of her longtime crush she lands in the cross hairs of his ex a social media celebrity
s35,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,"April 10, 2019",2018,TV-14,105 min,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,michael kennedy jake short sarah fisher booboo stewart danny trejo pippa mackie jake smith patricia zentilli carter thicke comedies romantic movies a teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with
s36,Movie,#Rucker50,Robert McCullough Jr.,Unknown,United States,"December 1, 2016",2016,TV-PG,56 min,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,robert mccullough jr unknown documentaries sports movies this documentary celebrates the 50th anniversary of the harlem sports program that has inspired countless city kids to become pro basketball players
s37,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,"June 1, 2019",2014,TV-MA,125 min,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",cristina jacob flavia hojda crina semciuc olimpia melinte levent sali vlad logigan alex calin alina chivulescu razvan vasilescu comedies dramas international movies two days before their final exams three teen girls make a seaside getaway to end their adolescence with a bang
s38,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,"June 1, 2019",2016,TV-MA,119 min,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",cristina jacob maia morgenstern olimpia melinte crina semciuc flavia hojda maria dinulescu alex calin vlad logigan levent sali silvia busuioc mihaela mihut comedies dramas international movies after a painful breakup a trio of partyloving friends makes a bet who can get married in three days
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,Unknown,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",Unknown,"March 30, 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.",unknown chutavuth pattarakampol sheranut yusananda nichaphat chatchaipholrat thassapak hsu international tv shows romantic tv shows tv comedies when two brothers fall for two sisters they quickly realize the age differences between them are too big to ignore
s40,Movie,"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,"July 19, 2019",2019,TV-MA,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",frank ariza estefanía de los santos secun de la rosa terele pávez maría alfonsa rosso mariola fuentes alfonso sánchez paz vega marta torné concha galán comedies international movies when her estranged mother suddenly dies a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance
s41,Movie,Çarsi Pazar,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",Turkey,"March 10, 2017",2015,TV-14,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,muharrem gülmez erdem yener ayhan taş emin olcay muharrem gülmez elif nur kerkük tarık papuççuoğlu suzan aksoy doğa konakoğlu esin eden deniz özerman comedies international movies the slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall
s42,Movie,Ég man þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,"March 27, 2018",2017,TV-MA,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",óskar thór axelsson jóhannes haukur jóhannesson ágústa eva erlendsdóttir elma stefania agustsdottir thor kristjansson anna gunndís guðmundsdóttir sara dögg ásgeirsdóttir þröstur leó gunnarsson jóhann sigurðarson sveinn geirsson arnar páll harðarson horror movies international movies young urbanites renovating a rundown house and a psychiatrist grieving his sons disappearance are connected to a supernatural decadesold secret
s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turkey,"March 10, 2017",2010,TV-MA,99 min,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",ozan açıktan ayça erturan aydan taş ayşegül akdemir burcu gönder bülent emrah parlak büşra pekin emre canpolat ersin korkut eser yenenler gizem tuğral gülhan tekin gülsüm alkan hamdi kahraman i̇brahim büyükak metin keçeci comedies international movies vignettes of the summer holidays follow vacationers as they battle mosquitoes suffer ruined plans and otherwise hit snags in their precious time off
s44,Movie,Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,"October 2, 2020",2020,TV-MA,107 min,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.",kenneth gyang beverly osu sharon ooja omowunmi dada pearl okorie wofai samuel ikechukwu onunaku kemi lala akindoju blossom chukwujekwu adebukola oladipupo omoni oboli segun arinze ada ameh sambasa nzeribe patrick doyle gregory ojefua dramas international movies in lagos a journalist goes undercover as a prostitute to expose human trafficking what she finds is a world of exploited women and ruthless violence
s45,Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,"February 1, 2018",2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",karyn kusama charlize theron marton csokas jonny lee miller sophie okonedo frances mcdormand pete postlethwaite amelia warner caroline chikezie nikolai kinski paterson joseph yangzom brauen action  adventure scifi  fantasy aiming to hasten an uprising the leader of an underground rebellion dispatches acrobatic assassin aeon flux to eliminate the governments top leader
s46,TV Show,Şubat,Unknown,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,"January 17, 2017",2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.",unknown alican yücesoy melisa sözen musa uzunlar serkan ercan özkan uğur ülkü duru tansu biçer nadir sarıbacak sermet yeşil ayhan kavas crime tv shows international tv shows tv dramas an orphan subjected to tests that gave him superpowers is rescued and raised on istanbuls streets where he falls for a reporter linked to his past
s47,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,"July 1, 2017",2014,TV-PG,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",adam deyoe lexi giovagnoli justin ray rae latt poonam basu teresa biter kalilah harris alexia dox adam powell sean mcbride dramas romantic movies when an aspiring dancer is uprooted during her senior year of high school she finds herself torn between two boys – and with one shot at her dream
